area_sqft,bedrooms,bathrooms,floors,age_years,parking,distance_city_km,near_metro,furnishing,locality_rating,price_inr
1260,1,5,4,12,3,19.58,0,Furnished,3.8,13557403
4172,1,4,4,10,1,16.42,1,Furnished,2.6,32400817
3492,4,4,4,31,1,4.44,0,Semi-Furnished,3.2,29153238
866,4,3,3,4,3,16.05,0,Unfurnished,4.7,12192878
4826,4,4,4,16,3,34.02,0,Furnished,4.5,37747241
3844,5,2,1,1,2,10.32,1,Unfurnished,3.0,32019897
3571,6,4,4,31,3,14.09,1,Furnished,3.1,32468878
3319,1,1,2,22,1,29.61,0,Semi-Furnished,4.9,24329531
530,3,4,1,4,0,18.68,0,Furnished,3.5,9192041
2085,6,5,4,7,0,1.07,1,Unfurnished,2.9,22490556
1169,3,2,3,26,3,19.34,1,Furnished,3.8,12469304
2791,1,4,3,1,1,30.65,1,Furnished,3.7,23306881
2833,2,2,3,6,0,24.47,0,Semi-Furnished,4.9,22721153
1584,6,3,2,21,3,26.74,0,Furnished,4.1,18076459
4955,5,2,2,6,0,2.3,0,Semi-Furnished,3.6,39118126
3785,3,5,3,8,1,7.09,0,Unfurnished,3.4,30522921
4517,6,3,2,34,3,20.9,0,Semi-Furnished,4.0,36743124
3304,6,4,4,23,2,6.2,0,Furnished,3.8,30304084
874,4,2,4,17,1,26.63,1,Furnished,4.2,11337376
1482,2,3,3,25,3,8.71,1,Semi-Furnished,3.9,16191033
2958,4,4,1,14,2,11.81,1,Unfurnished,4.8,26358126
2447,2,4,4,21,3,2.42,1,Unfurnished,2.5,20966133
3147,2,2,1,24,0,15.49,1,Furnished,3.9,25182936
1375,5,2,2,24,3,9.69,1,Semi-Furnished,4.5,16805474
2206,6,3,2,24,1,2.13,0,Furnished,2.7,21935109
589,4,2,4,24,0,5.55,1,Furnished,2.7,9463695
3134,4,4,4,6,0,14.34,1,Furnished,2.7,27240772
3405,3,5,2,23,2,12.64,1,Semi-Furnished,4.9,29143632
2299,6,3,2,18,0,30.27,0,Furnished,4.6,23112547
1667,1,5,1,21,2,11.3,0,Unfurnished,2.8,14383438
1928,1,5,4,22,1,15.12,1,Unfurnished,4.1,16757549
3602,3,4,3,19,0,14.89,0,Unfurnished,4.0,28504280
3956,2,5,3,19,3,21.36,0,Semi-Furnished,2.8,31848342
4290,3,1,2,6,2,31.69,0,Unfurnished,3.8,32293134
1046,3,3,3,33,1,23.94,0,Semi-Furnished,2.6,11075376
3288,4,4,2,10,0,29.51,1,Unfurnished,2.5,26817967
2835,3,2,3,7,1,7.36,1,Unfurnished,3.2,23728039
1000,2,4,2,10,0,29.54,0,Unfurnished,4.8,9512573
2763,1,2,2,24,0,24.81,1,Furnished,3.9,22183799
2461,5,4,3,30,1,11.03,1,Semi-Furnished,2.6,23586628
641,6,1,4,25,0,31.44,1,Furnished,2.6,11069244
2441,3,3,2,9,3,23.61,0,Furnished,2.8,21407372
3224,6,5,3,32,1,16.9,0,Semi-Furnished,3.2,28992974
3012,3,4,4,6,3,24.95,0,Furnished,2.9,26097388
1763,6,3,1,19,3,1.23,1,Furnished,3.1,19769633
1878,4,3,2,14,0,12.0,0,Unfurnished,2.9,17092580
2956,4,3,2,15,3,27.41,1,Semi-Furnished,4.4,26332232
1175,6,3,1,34,0,30.21,1,Unfurnished,3.5,15012266
4414,3,3,2,20,0,28.21,0,Semi-Furnished,4.2,33645963
434,3,5,1,34,2,25.86,0,Furnished,3.3,8889120
3552,2,5,3,33,0,17.92,1,Semi-Furnished,3.6,28240777
2355,1,4,1,0,0,7.45,0,Semi-Furnished,4.0,19695342
1985,1,2,4,8,3,4.77,0,Furnished,2.7,16380134
4343,5,4,3,29,2,32.42,0,Furnished,3.1,35186290
3473,1,3,1,20,2,8.17,0,Unfurnished,4.9,26480760
1421,5,2,4,17,3,9.34,0,Unfurnished,4.6,16051536
3861,4,4,1,21,0,25.54,1,Furnished,4.8,32307485
3013,5,2,4,25,0,26.7,0,Unfurnished,2.6,23684284
4243,5,5,1,11,3,14.88,1,Semi-Furnished,3.9,37333691
1900,1,3,2,30,0,3.55,0,Unfurnished,3.2,15040167
561,3,2,4,1,1,17.47,1,Furnished,4.6,9583276
4697,4,1,2,15,1,28.63,1,Furnished,4.0,36045544
2381,2,3,2,22,3,30.99,0,Unfurnished,3.0,19256571
1395,5,5,4,34,1,23.11,0,Furnished,2.7,15516227
3742,5,5,2,5,0,24.28,1,Semi-Furnished,4.3,32286247
4951,6,4,3,21,0,1.81,0,Unfurnished,4.8,40663272
4198,5,1,1,10,3,8.25,0,Semi-Furnished,3.3,34189592
1675,3,2,4,33,3,26.4,1,Furnished,3.6,15527612
1416,2,4,3,20,1,19.04,0,Unfurnished,4.3,13693404
737,6,5,4,12,3,20.96,0,Unfurnished,4.0,14008520
1278,1,2,1,17,3,28.55,0,Unfurnished,4.0,9699967
1476,4,5,4,29,3,23.76,0,Furnished,3.2,17020913
4393,3,5,1,23,2,15.28,1,Semi-Furnished,2.8,35951133
779,2,1,3,0,3,34.12,0,Semi-Furnished,3.7,8690072
892,4,3,4,27,2,9.22,1,Unfurnished,3.9,11851309
2462,1,2,1,3,0,12.56,1,Unfurnished,4.4,19784828
