area_sqft,bedrooms,bathrooms,floors,age_years,parking,distance_city_km,near_metro,furnishing,locality_rating,price_inr
4473,3,4,3,25,2,30.35,1,Unfurnished,2.5,34007667
2222,2,1,3,17,3,4.79,1,Semi-Furnished,3.0,18552363
3583,2,3,2,33,1,16.28,0,Furnished,2.6,27846049
1741,2,2,2,11,1,18.44,0,Unfurnished,3.8,16017103
2133,2,1,1,5,1,8.88,1,Semi-Furnished,4.7,18335086
1316,5,4,2,24,3,29.61,0,Semi-Furnished,4.3,15775097
4538,1,3,4,28,1,4.89,1,Unfurnished,2.7,32452680
2166,1,4,3,11,2,21.58,1,Furnished,4.9,19273044
4916,6,4,2,26,0,31.76,1,Furnished,3.4,39709236
2072,6,5,3,15,0,24.77,1,Semi-Furnished,3.4,21705231
4966,6,2,4,10,2,1.19,0,Furnished,2.9,39821585
3655,2,3,1,29,0,3.86,0,Furnished,4.0,28672909
4961,2,5,4,6,1,15.53,0,Furnished,3.7,38159818
415,5,2,3,18,1,9.25,1,Unfurnished,4.2,9605210
3483,4,5,4,11,0,21.21,0,Unfurnished,4.5,28638003
477,6,5,3,24,3,19.14,0,Semi-Furnished,3.6,11625573
1736,1,5,2,29,1,26.99,0,Semi-Furnished,4.9,14900158
534,4,2,2,3,2,14.59,0,Unfurnished,3.6,9072184
4427,4,1,1,31,1,6.49,1,Semi-Furnished,3.2,34190122
4623,2,4,4,29,1,19.06,1,Semi-Furnished,4.6,35165041
4400,4,3,1,31,2,4.44,1,Unfurnished,4.4,35595568
862,4,4,1,29,3,21.12,0,Furnished,3.3,12659005
422,1,1,2,10,0,21.46,1,Semi-Furnished,4.9,5785933
833,2,3,4,13,3,28.19,0,Unfurnished,3.4,8983126
1075,2,5,1,18,3,12.15,1,Furnished,3.2,12918740
3805,2,3,4,4,1,18.23,1,Semi-Furnished,3.5,30286044
3424,6,2,1,8,1,25.61,1,Semi-Furnished,4.6,30154736
1065,2,3,2,6,3,9.32,0,Unfurnished,3.7,12179678
1356,1,1,4,23,1,18.7,1,Unfurnished,2.9,9916770
2939,6,5,4,1,3,10.51,1,Unfurnished,4.2,29778525
1152,2,2,4,26,3,18.5,0,Furnished,3.6,11929400
3127,6,5,2,17,0,3.97,0,Furnished,4.5,29129267
2524,4,5,4,2,0,34.19,1,Semi-Furnished,4.2,23230180
4549,3,1,1,3,1,1.93,0,Unfurnished,4.1,33263057
1335,3,1,1,6,2,17.38,0,Unfurnished,3.3,12981520
665,5,5,2,23,2,31.73,0,Unfurnished,4.0,11203821
3275,1,4,4,32,3,8.07,0,Unfurnished,4.2,25915708
4294,3,5,1,1,0,21.92,0,Furnished,4.9,33774941
4683,4,5,4,11,1,25.35,1,Furnished,2.9,37236841
3825,3,3,2,26,3,34.13,1,Semi-Furnished,3.8,30294174
2790,6,5,3,16,2,24.69,0,Furnished,3.9,26513597
3131,4,4,2,33,0,12.66,0,Semi-Furnished,4.9,26953445
4506,6,4,2,2,3,29.81,1,Furnished,3.5,39021169
3679,2,5,3,17,2,7.27,1,Furnished,3.9,30499770
1694,1,4,1,25,1,18.26,0,Unfurnished,2.5,12761852
3701,3,2,4,14,3,17.11,0,Furnished,3.6,28743527
706,5,4,1,19,0,1.46,0,Unfurnished,2.9,11192135
3405,3,5,2,23,2,12.64,1,Semi-Furnished,4.9,29143632
3991,2,2,4,8,3,34.12,0,Unfurnished,5.0,29116004
4890,3,4,2,15,1,28.82,1,Unfurnished,2.9,36401659
3785,6,1,2,34,1,14.4,0,Semi-Furnished,3.4,30695421
2303,1,3,2,33,0,11.81,1,Furnished,4.9,19860235
2303,3,3,3,1,0,31.21,0,Unfurnished,3.0,19028788
3962,1,2,3,31,2,8.11,0,Semi-Furnished,4.2,28964020
3472,2,5,2,32,1,4.67,0,Semi-Furnished,4.7,28288834
996,6,4,4,19,2,4.63,0,Unfurnished,3.2,15280050
3291,6,1,2,18,3,25.77,0,Semi-Furnished,4.0,29061242
1591,4,4,2,12,2,19.35,0,Semi-Furnished,4.1,16840734
985,3,4,1,9,2,20.95,0,Semi-Furnished,3.6,11969355
1973,2,3,4,18,0,26.59,0,Furnished,3.8,17526771
2792,3,5,2,0,0,19.26,1,Furnished,3.9,25877214
2789,3,2,2,33,1,12.26,0,Furnished,3.4,22505126
472,6,1,4,7,3,1.26,1,Unfurnished,3.1,11183131
4383,2,1,2,3,3,30.91,1,Unfurnished,4.3,33534357
4396,2,2,3,0,2,24.32,1,Semi-Furnished,5.0,33204014
3988,1,2,3,10,2,34.23,0,Furnished,3.9,29368423
2261,4,2,4,11,2,6.91,0,Semi-Furnished,4.1,20715976
3687,6,1,1,33,2,34.96,1,Unfurnished,4.5,29640172
764,5,5,4,33,2,21.53,1,Unfurnished,4.5,13030171
3161,5,2,3,12,1,1.28,0,Furnished,2.6,27708484
2646,3,4,2,18,3,32.5,0,Unfurnished,2.8,21429857
2671,5,3,2,10,3,7.18,0,Unfurnished,3.0,24203005
1957,4,1,1,1,0,30.46,1,Semi-Furnished,3.4,17979039
1276,1,3,3,2,1,34.68,0,Semi-Furnished,3.6,11276888
3847,6,2,2,16,1,8.96,1,Furnished,2.8,33325590
1432,6,5,1,6,3,12.66,1,Furnished,3.9,20782538
4450,1,2,1,21,3,26.77,1,Unfurnished,3.7,32491447
1704,4,4,4,27,1,34.33,0,Semi-Furnished,3.0,16247591
4069,5,5,3,30,1,4.05,1,Furnished,2.7,33770467
1119,1,3,3,24,2,34.68,0,Furnished,3.4,10954946
465,2,1,2,9,3,31.0,0,Semi-Furnished,4.5,6802641
3723,2,3,2,24,0,4.96,1,Semi-Furnished,3.8,29259541
4042,6,4,2,15,3,3.14,1,Unfurnished,3.4,35238518
4862,5,4,2,28,1,7.97,1,Semi-Furnished,3.3,39006435
2417,4,3,1,12,2,3.2,1,Unfurnished,4.3,22614944
2211,2,4,1,6,1,8.61,1,Unfurnished,3.5,19538732
3653,3,2,1,28,0,29.31,0,Semi-Furnished,2.6,26231841
1197,6,1,4,22,1,6.81,0,Furnished,4.3,14648312
1646,5,4,4,31,1,15.88,0,Furnished,3.4,16761496
3969,1,1,2,29,1,7.1,1,Semi-Furnished,3.4,28429555
1935,4,3,2,14,1,26.57,1,Semi-Furnished,3.0,18988915
3298,5,5,4,15,0,18.93,0,Semi-Furnished,3.2,27730100
2338,2,4,2,6,0,5.83,1,Semi-Furnished,3.0,20571552
3938,2,1,1,0,2,15.05,1,Semi-Furnished,2.8,30414230
3917,3,4,3,27,0,11.94,0,Furnished,2.7,30562765
1991,3,4,1,18,0,12.05,1,Semi-Furnished,3.3,17969620
1683,3,2,4,23,3,11.4,1,Unfurnished,4.2,16960888
4409,6,1,4,34,3,33.87,1,Unfurnished,3.6,35253458
2381,2,3,2,22,3,30.99,0,Unfurnished,3.0,19256571
966,6,5,2,29,0,27.5,0,Semi-Furnished,4.1,14028134
2490,6,4,1,0,2,3.5,0,Semi-Furnished,4.9,25686798
928,6,3,2,32,1,7.54,1,Furnished,3.4,13874657
3771,4,5,1,12,2,32.68,1,Furnished,2.8,31914513
2775,5,1,1,12,1,9.62,0,Furnished,4.4,24952640
1795,6,5,3,16,2,11.27,0,Unfurnished,3.0,20224522
3021,5,5,3,5,1,24.27,1,Furnished,4.3,28421545
3025,5,1,1,19,0,19.57,1,Furnished,4.4,26507490
4378,3,3,2,32,1,16.22,0,Unfurnished,4.1,33298430
4439,5,5,2,19,2,29.52,1,Furnished,3.7,36972231
2331,1,4,2,30,0,17.32,0,Unfurnished,3.9,16853695
3989,2,3,2,8,3,33.07,0,Unfurnished,4.0,29522556
2736,4,5,1,16,1,29.57,1,Furnished,3.1,25845520
854,3,1,2,18,1,13.43,0,Unfurnished,4.2,10136895
1900,3,3,2,32,0,30.55,0,Furnished,4.8,17138833
2117,3,5,4,6,2,21.37,1,Unfurnished,3.9,20939283
4339,2,1,3,31,3,17.84,1,Furnished,4.2,32873253
762,3,4,3,29,1,24.47,0,Semi-Furnished,4.2,9942616
613,1,4,3,30,0,28.21,1,Furnished,4.4,7644183
2076,5,5,1,30,2,22.04,0,Semi-Furnished,3.6,20488066
1663,3,4,1,4,1,12.6,0,Semi-Furnished,3.8,16866205
1561,3,3,4,16,2,14.83,0,Furnished,2.6,14536784
2015,1,5,4,15,2,14.69,1,Semi-Furnished,4.6,18877428
1345,1,1,3,20,1,7.73,1,Furnished,3.5,12718005
530,2,1,2,18,3,9.77,0,Semi-Furnished,2.9,7421475
3310,2,4,4,30,2,13.2,0,Furnished,4.0,26527628
2617,3,4,4,9,2,7.43,1,Semi-Furnished,3.0,22817410
3786,1,1,2,9,0,34.84,0,Semi-Furnished,4.1,26018092
2088,6,5,1,15,3,25.73,1,Furnished,2.6,22554794
1817,6,3,3,25,2,28.76,1,Furnished,4.4,19276909
1837,6,3,3,4,2,3.12,0,Furnished,3.9,20956325
3747,3,3,3,22,2,34.44,0,Furnished,2.6,28865322
2947,6,2,3,17,2,29.96,0,Furnished,3.5,26537991
525,4,5,4,30,3,21.21,1,Unfurnished,2.8,10459713
3839,6,3,4,28,2,8.49,1,Semi-Furnished,3.2,33613443
3193,6,4,2,12,2,10.96,0,Semi-Furnished,4.5,29147223
3565,3,2,4,12,1,30.43,1,Unfurnished,5.0,28063217
4072,2,2,2,23,3,30.65,1,Semi-Furnished,4.3,30450356
3280,4,3,3,14,0,29.93,0,Semi-Furnished,3.7,25555851
1393,2,2,4,26,1,22.67,1,Unfurnished,3.2,12748122
2368,1,4,3,24,3,13.15,0,Furnished,4.8,19935927
3295,5,3,2,27,1,20.74,0,Furnished,2.5,28139156
1117,1,3,1,18,0,20.38,0,Semi-Furnished,3.2,9444555
4926,6,4,3,22,0,20.47,0,Semi-Furnished,4.4,39428628
4439,3,2,1,27,3,11.5,1,Unfurnished,3.6,33591361
2878,6,1,4,25,2,25.36,0,Furnished,3.6,24831861
2873,4,3,4,4,1,31.07,1,Furnished,4.3,25111565
3934,5,5,3,19,3,23.07,1,Furnished,4.4,34795827
3378,5,5,2,2,0,24.6,1,Furnished,2.7,30478222
816,6,1,3,6,1,23.18,0,Unfurnished,3.6,11250344
3098,1,1,4,30,3,22.79,1,Unfurnished,3.4,21515997
2031,3,2,2,33,0,9.49,0,Unfurnished,3.7,16067493
2017,5,3,2,16,0,33.95,0,Semi-Furnished,4.2,18418280
