area_sqft,bedrooms,bathrooms,floors,age_years,parking,distance_city_km,near_metro,furnishing,locality_rating,price_inr
4473,3,4,3,25,2,30.35,1,Unfurnished,2.5,33936632.269068226
2222,2,1,3,17,3,4.79,1,Semi-Furnished,3.0,19072324.458653696
3583,2,3,2,33,1,16.28,0,Furnished,2.6,26941721.262442585
1741,2,2,2,11,1,18.44,0,Unfurnished,3.8,14725901.546090215
2133,2,1,1,5,1,8.88,1,Semi-Furnished,4.7,18713623.953546003
1316,5,4,2,24,3,29.61,0,Semi-Furnished,4.3,15749977.479543226
4538,1,3,4,28,1,4.89,1,Unfurnished,2.7,32967670.653961677
2166,1,4,3,11,2,21.58,1,Furnished,4.9,19693553.35116295
4916,6,4,2,26,0,31.76,1,Furnished,3.4,39593640.88369499
2072,6,5,3,15,0,24.77,1,Semi-Furnished,3.4,21828515.947834574
4966,6,2,4,10,2,1.19,0,Furnished,2.9,40240686.110483274
3655,2,3,1,29,0,3.86,0,Furnished,4.0,28261336.076513045
4961,2,5,4,6,1,15.53,0,Furnished,3.7,38055311.72271394
415,5,2,3,18,1,9.25,1,Unfurnished,4.2,9556800.451973392
3483,4,5,4,11,0,21.21,0,Unfurnished,4.5,29023767.452762663
477,6,5,3,24,3,19.14,0,Semi-Furnished,3.6,11738091.975677388
1736,1,5,2,29,1,26.99,0,Semi-Furnished,4.9,15388533.762991268
534,4,2,2,3,2,14.59,0,Unfurnished,3.6,9062586.8987903
4427,4,1,1,31,1,6.49,1,Semi-Furnished,3.2,34062275.308200434
4623,2,4,4,29,1,19.06,1,Semi-Furnished,4.6,35344613.281939656
4400,4,3,1,31,2,4.44,1,Unfurnished,4.4,35393571.05845389
862,4,4,1,29,3,21.12,0,Furnished,3.3,12150798.85468191
422,1,1,2,10,0,21.46,1,Semi-Furnished,4.9,5944711.688556794
833,2,3,4,13,3,28.19,0,Unfurnished,3.4,9328635.000821225
1075,2,5,1,18,3,12.15,1,Furnished,3.2,13726544.31673696
3805,2,3,4,4,1,18.23,1,Semi-Furnished,3.5,29760094.276955035
3424,6,2,1,8,1,25.61,1,Semi-Furnished,4.6,30032810.031278566
1065,2,3,2,6,3,9.32,0,Unfurnished,3.7,11883194.757971443
1356,1,1,4,23,1,18.7,1,Unfurnished,2.9,10943772.961725315
2939,6,5,4,1,3,10.51,1,Unfurnished,4.2,29249242.693602756
1152,2,2,4,26,3,18.5,0,Furnished,3.6,11728445.157615261
3127,6,5,2,17,0,3.97,0,Furnished,4.5,29540794.857635032
2524,4,5,4,2,0,34.19,1,Semi-Furnished,4.2,23437468.774827655
4549,3,1,1,3,1,1.93,0,Unfurnished,4.1,34254303.13768636
1335,3,1,1,6,2,17.38,0,Unfurnished,3.3,12658480.002509525
665,5,5,2,23,2,31.73,0,Unfurnished,4.0,11188824.383433845
3275,1,4,4,32,3,8.07,0,Unfurnished,4.2,25530943.396024406
4294,3,5,1,1,0,21.92,0,Furnished,4.9,34573464.36858846
4683,4,5,4,11,1,25.35,1,Furnished,2.9,37714615.80808611
3825,3,3,2,26,3,34.13,1,Semi-Furnished,3.8,30218802.82799036
